step,x,y,z
0,0,0,0
1,1,-1,0
2,2,-1,0
3,2,-2,0
4,2,-4,0
5,1,-4,0
6,1,-4,0
7,1,-4,0
8,1,-5,0
9,0,-5,0
10,0,-5,0
11,0,-4,0
12,2,-5,0
13,3,-7,0
14,2,-6,0
15,2,-5,0
16,1,-5,0
17,0,-4,0
18,0,-5,0
19,0,-5,0
20,1,-5,0
21,1,-4,0
22,2,-5,0
23,5,-4,0
24,7,-4,0
25,7,-4,0
26,8,-6,0
27,7,-7,0
28,7,-7,0
29,6,-9,0
30,7,-8,0
31,7,-7,0
32,7,-6,0
33,8,-6,0
34,7,-6,0
35,8,-5,0
36,9,-7,0
37,10,-9,0
38,11,-10,0
39,11,-11,0
40,11,-12,0
41,12,-12,0
42,13,-10,0
43,12,-10,0
44,12,-11,0
45,13,-11,0
46,13,-10,0
47,14,-11,0
48,13,-11,0
49,12,-11,0
50,13,-11,0
51,12,-11,0
52,12,-11,0
53,11,-12,0
54,10,-12,0
55,10,-10,0
56,9,-11,0
57,8,-11,0
58,9,-13,0
59,9,-13,0
60,8,-12,0
61,8,-13,0
62,8,-13,0
63,8,-13,0
64,9,-12,0
65,10,-14,0
66,11,-12,0
67,10,-12,0
68,9,-11,0
69,9,-11,0
70,9,-10,0
71,9,-10,0
72,9,-8,0
73,10,-8,0
74,9,-7,0
75,10,-8,0
76,8,-8,0
77,9,-8,0
78,10,-9,0
79,10,-7,0
80,9,-8,0
81,9,-8,0
82,10,-8,0
83,10,-8,0
84,9,-7,0
85,9,-7,0
86,9,-6,0
87,10,-5,0
88,11,-7,0
89,10,-8,0
90,9,-11,0
91,9,-11,0
92,8,-11,0
93,9,-10,0
94,7,-10,0
95,7,-8,0
96,6,-7,0
97,6,-7,0
98,7,-7,0
99,6,-6,0
100,6,-5,0
101,4,-5,0
102,4,-4,0
103,4,-6,0
104,5,-6,0
105,5,-6,0
106,7,-4,0
107,6,-5,0
108,4,-5,0
109,2,-6,0
110,3,-7,0
111,2,-8,0
112,2,-7,0
113,1,-7,0
114,1,-9,0
115,0,-11,0
116,0,-12,0
117,0,-13,0
118,2,-15,0
119,3,-16,0
120,3,-16,0
121,1,-16,0
122,0,-15,0
123,0,-14,0
124,-1,-14,0
125,-1,-15,0
126,-3,-16,0
127,-2,-17,0
128,-3,-15,0
