step,x,y,z
0,0,0,0
1,0,0,-1
2,0,0,0
3,-1,0,0
4,-1,0,0
5,-1,0,1
6,-1,0,2
7,0,0,2
8,0,-1,2
9,0,-1,2
10,0,-1,2
11,-1,-1,2
12,-1,-1,2
13,-2,-1,2
14,-1,-1,2
15,-1,-1,3
16,-1,0,3
17,-1,0,3
18,-1,0,3
19,-1,0,4
20,0,0,4
21,1,0,4
22,1,0,3
23,2,0,3
24,2,-1,3
25,2,-1,3
26,2,-2,3
27,2,-3,3
28,2,-2,3
29,2,-2,2
30,2,-2,3
31,2,-3,3
32,2,-3,3
33,2,-3,3
34,2,-3,3
35,2,-4,3
36,2,-4,3
37,2,-4,3
38,2,-4,3
39,2,-3,3
40,2,-3,3
41,2,-3,2
42,2,-4,2
43,2,-4,2
44,2,-4,1
45,2,-5,1
46,1,-5,1
47,2,-5,1
48,1,-5,1
49,2,-5,1
50,1,-5,1
51,1,-5,2
52,1,-5,1
53,1,-5,2
54,2,-5,2
55,2,-5,2
56,2,-5,2
57,3,-5,2
58,3,-5,2
59,4,-5,2
60,4,-5,2
61,5,-5,2
62,5,-4,2
63,5,-4,1
64,5,-4,0
65,5,-4,0
66,5,-4,-1
67,5,-4,-1
68,5,-4,0
69,5,-3,0
70,5,-3,-1
71,5,-3,0
72,5,-3,0
73,6,-3,0
74,6,-3,1
75,5,-3,1
76,5,-4,1
77,5,-4,2
78,6,-4,2
79,6,-4,1
80,7,-4,1
81,7,-4,2
82,7,-4,2
83,7,-5,2
84,7,-6,2
85,7,-6,2
86,7,-6,2
87,7,-6,2
88,7,-6,1
89,7,-6,1
90,6,-6,1
91,7,-6,1
92,7,-7,1
93,6,-7,1
94,6,-7,2
95,6,-6,2
96,6,-6,2
97,5,-6,2
98,5,-6,2
99,5,-6,3
100,5,-7,3
101,5,-7,3
102,5,-7,3
103,5,-6,3
104,5,-5,3
105,4,-5,3
106,3,-5,3
107,3,-5,2
108,3,-5,2
109,3,-4,2
110,2,-4,2
111,3,-4,2
112,3,-4,2
113,3,-4,2
114,3,-3,2
115,3,-3,3
116,3,-3,2
117,3,-3,2
118,3,-3,2
119,3,-3,2
120,3,-3,3
121,2,-3,3
122,2,-3,3
123,3,-3,3
124,3,-3,4
125,3,-2,4
126,3,-2,5
127,3,-2,4
128,4,-2,4
129,4,-3,4
130,4,-3,3
131,4,-3,3
132,4,-3,4
133,4,-3,4
134,4,-3,5
135,4,-4,5
136,4,-4,5
137,4,-4,5
138,3,-4,5
139,3,-4,6
140,2,-4,6
141,2,-4,7
142,2,-4,7
143,3,-4,7
144,3,-4,7
145,3,-3,7
146,3,-4,7
147,3,-4,6
148,3,-4,6
149,3,-4,6
150,3,-4,6
151,3,-4,5
152,2,-4,5
153,2,-4,5
154,3,-4,5
155,3,-4,4
156,4,-4,4
157,4,-4,4
158,4,-4,4
159,4,-4,4
160,4,-4,4
161,5,-4,4
162,5,-3,4
163,5,-3,4
164,5,-3,4
165,6,-3,4
166,5,-3,4
167,6,-3,4
168,6,-3,3
169,6,-3,3
170,6,-3,3
171,6,-3,3
172,6,-3,2
173,5,-3,2
174,5,-3,2
175,6,-3,2
176,6,-3,1
177,6,-3,0
178,7,-3,0
179,8,-3,0
180,8,-4,0
181,8,-3,0
182,8,-3,0
183,8,-3,0
184,8,-2,0
185,8,-1,0
186,8,0,0
187,8,0,0
188,8,0,0
189,7,0,0
190,8,0,0
191,8,1,0
192,8,1,0
193,8,1,0
194,8,1,0
195,7,1,0
196,7,2,0
197,6,2,0
198,6,2,0
199,6,3,0
200,6,3,1
201,6,3,1
202,6,3,2
203,6,4,2
204,6,4,2
205,6,4,2
206,6,4,2
207,6,4,2
208,6,3,2
209,6,3,2
210,6,3,2
211,6,3,1
212,5,3,1
213,6,3,1
214,6,2,1
215,6,3,1
